url, title, metaDescription, isLoaded, isGoogleAnalyticsObject, isGoogleAnalyticsFunc, isCharacterEncode, isMetaDescription, isDoctype, isTitle, isTitleEnoughLong, isH1, h1, isH1OnlyOne, isH2, linksCount, isTooEnoughLinks, internalNoFollowLinksCount, notOptimizedImagesCount, wordsCount, isContentEnoughLong, isViewport, isAmp, isNotIframe, brokenLinksCount, brokenImagesCount, grade
https://www.prgnet.com.br/, PRGNET – Internet Banda Larga Fibra – Entregamos mais velocidade que o contratado Internet Fibra ótica em Marabá||| Nova Ipixuna e São domingos do AraguaiaFechar, undefined, true, true, false, true, false, true, true, false, false, undefined, false, true, 48, true, 0, 9, 4001, false, true, true, false, 1, 10, 19
https://www.jesielimoveis.com.br/, Jesiel Imóveis | Pessoas que ajudam Pessoas | Meia Praia||| Itapema., Imobiliária especializada em entender pessoas que desejam colecionar momentos únicos em Meia Praia||| Itapema/SC | Grupo Bella Kaza., true, false, false, true, true, true, true, true, true, Jesiel Imóveis | Pessoas que ajudam Pessoas | Meia Praia||| Itapema., true, true, 62, true, 0, 1, 3790, false, true, true, false, 5, 0, 29
https://canseivendi.com.br/, @Cansei_Vendi - Brechó de Luxo Online - Compre bolsas e acessórios de luxo, Melhor brecho de luxo online do Brasil. Somente produtos originais e com duplo aval de autenticidade. Parcelamento em até 10X sem juros. Roupas||| Sapatos||| Acessórios e Bolsas Chanel||| Prada||| Louis Vuitton||| Gucci||| Dior||| entre outras marcas., true, true, false, true, true, true, true, false, true, @Cansei_Vendi - Brechó de Luxo Online - Compre bolsas||| roupas||| sapatos e acessórios de luxo, true, true, 226, true, 0, 79, 2968, false, true, true, false, 0, 0, 33
https://www.uni7.edu.br/, UNI7 | Fortaleza | Centro Universitário 7 de Setembro – Quem FAZ acontece. Quando o melhor da teoria acontece na prática||| todo mundo aprova. Garanta seu futuro com um dos 16 cursos de graduação da UNI7., UNI7 Fortaleza | Centro Universitário 7 de Setembro | Referência no Ensino Superior do Ceará, true, true, true, true, true, true, true, false, true, , true, false, 183, true, 0, 23, 1712, false, true, true, false, 1, 0, 30
https://atelierliviaviti.com.br/, Home - Atelier Lívia Viti, undefined, true, true, false, true, false, true, true, true, false, undefined, false, true, 29, true, 0, 4, 403, false, true, true, false, 0, 0, 23
https://www.vocesemprelinda.com/, Você Sempre LindaFechar, , true, true, true, true, true, true, true, true, true, QUEM INDICA AMIGA É!, true, true, 85, true, 0, 20, 3983, false, true, true, false, 0, 0, 33
http://novabairros.com.br/, Nova Bairros – Bairros Planejados, undefined, true, false, false, true, false, true, true, true, false, undefined, false, true, 46, true, 0, 11, 221, true, true, true, false, 11, 0, 19
https://totalexpress.com.br/, Total Express | A empresa privada mais completa de soluções logísticas, A Total Express é a empresa privada mais completa de soluções logísticas. Atende pequeno||| médio e grande e-commerce||| gigantes do varejo||| indústria e governo, true, true, false, true, true, true, true, true, false, undefined, false, true, 63, true, 0, 37, 911, false, true, true, false, 2, 1, 23
https://canalfornecedor.com.br/, Canal Fornecedor | Cadastro de Fornecedores, Use o cadastro de fornecedores para fornecer para as maiores empresas do país. Venda mais e sem burocracia com o Canal Fornecedor., true, true, false, true, true, true, true, true, true, Forneça para as maiores empresas  ematuação no mercado brasileiro, true, true, 35, true, 0, 0, 761, false, true, true, false, 1, 0, 34
http://www.fvcedu.com.br/, FVC  Faculdade Vale dos Carajás – Faculdade Vale do Carajás, undefined, true, false, false, true, false, true, true, true, false, undefined, false, true, 77, true, 0, 14, 670, false, true, true, false, 51, 0, 19
