url, title, metaDescription, isLoaded, isGoogleAnalyticsObject, isGoogleAnalyticsFunc, isCharacterEncode, isMetaDescription, isDoctype, isTitle, isTitleEnoughLong, isH1, h1, isH1OnlyOne, isH2, linksCount, isTooEnoughLinks, internalNoFollowLinksCount, notOptimizedImagesCount, wordsCount, isContentEnoughLong, isViewport, isAmp, isNotIframe, brokenLinksCount, brokenImagesCount, grade
https://www.docconcierge.com.br/, Doc Concierge – Serviços Financeiros, undefined, true, true, true, true, false, true, true, true, true, Todos os Serviços Financeiros em um só lugar Na MídiaArtigos e NotíciasNossa EquipeQuem já conhece a Doc, false, true, 98, true, 0, 10, 1012, false, true, true, true, 11, 0, 27
https://corpodebem.com.br/, Início | Corpo de Bem, undefined, true, false, false, true, false, true, true, true, true, Bem-vinda(o)!, true, true, 46, true, 0, 0, 862, false, true, true, true, 1, 0, 26
https://m2up.com.br/, M2up | Marketing para Crescer, Criamos incríveis cursos de marketing para que negócios e empresas possam crescer. E o melhor! Todos os nossos cursos custam apenas R$20. Aproveite!, true, true, false, true, true, true, true, true, true, Olá||| somos a M2upRole para baixo, false, true, 65, true, 0, 1, 604, false, true, true, false, 2, 3, 27
https://www.festivalconexao2021.com.br/, Conexão 2021, O Conexão 20/21 tem como um dos seus pilares na realização varias histórias somadas. Confira todas as informações sobre o evento., true, true, false, true, true, true, true, true, true,  , true, true, 61, true, 0, 32, 324, true, true, true, false, 9, 0, 30
https://www.nakahashi.com.br/, Nakahashi Advogados | Especializados em Direito Trabalhista, Advocacia trabalhista Nakahashi Advogados. 12 anos de atuação na defesa dos direitos dos trabalhadores. Acesse agora e veja os serviços oferecidos., true, true, false, true, true, true, true, true, true, Advocacia Trabalhista, true, true, 49, true, 0, 6, 9347, false, true, true, false, 19, 0, 33
https://professoramaraisa.com.br/, Professora Maraisa – #AmoEnsinar, undefined, true, true, false, true, false, true, true, true, false, undefined, false, true, 11, true, 0, 1, 308, true, true, true, false, 0, 0, 23
https://loja.edelbra.com.br/, Loja Virtual Edelbra Editora,  Literatura infantojuvenil e paradidáticos. Livros para professores||| estudantes e profissionais da educação. Autores co..., true, true, true, true, true, true, true, true, true,  , false, false, 593, true, 1, 1, 2660, false, true, true, false, 237, 0, 28
https://www.unicafaculdadead.com.br/, Única Faculdade EaD, Só mais um site Parceiro Lyratec, true, false, false, true, true, true, true, true, false, undefined, false, true, 42, true, 0, 2, 4374, false, true, true, false, 2, 1, 19
https://www.drukenprint.com.br/, Druken Print - Impressoras de crachá, Encontre Impressora Cartão Pvc - Impressoras||| acessórios||| ribbons||| suprimentos. Somos o maior e-commerce dos produtos HID - Fargo do Brasil., true, false, false, true, true, true, true, true, true, , true, true, 141, true, 0, 4, 659, false, true, true, false, 2, 1, 25
https://nfeagro.com.br/, NFE Agro – Emissão de Nota Fiscal Eletrônica Rural e Resgate de ICMS, undefined, true, true, false, true, false, true, true, true, false, undefined, false, true, 9, true, 0, 9, 566, false, true, true, false, 1, 0, 23
https://www.mariliaramos.com.br/, Empreender com Sobrancelhas, Preparada para entrar no mundo das sobrancelhas? O meu curso de Design de Sobrancelhas||| vai transformar sua vida pessoal e profissional? VEM COMIGO! Tenho o segredo do sucesso pra você!, true, false, false, true, true, true, true, true, true, Não existe nada igual ao Klickpages.Não existe nada igual ao Klickpages.VOCÊ VAI APRENDER TUDO EM MAIS DE18 MÓDULOS DE AULAS DIDÁTICAS? Satisfação garantida ou seu dinheiro de volta! NO FINAL DO CURSO  VOCÊ RECEBERÁ UM CERTIFICADO EM  FORMATO DIGITAL! , false, true, 12, true, 0, 1, 2398, false, true, true, true, 6, 0, 27
http://grupoaudisa.com.br/, 502 Bad Gateway, undefined, true, false, false, true, false, false, true, true, false, undefined, false, true, 0, true, 0, 0, 8, true, true, true, true, 0, 0, 0
https://www.hartbau.com.br/, Hartbau - Sistemas de Suportação Gripple e Sikla, Distribuidora exclusiva das marcas Sikla e Gripple no Brasil||| a Hartbau oferece soluções inovadoras para suportação e insonorização em instalações industriais e, true, true, false, true, true, true, true, true, true,  , true, true, 69, true, 0, 40, 603, false, true, true, false, 14, 42, 29
http://hotelariadigital.com/, Bem-vindo a HostGator, undefined, true, false, false, true, false, true, true, true, true, Que tal publicar seu site hoje mesmo?, true, true, 10, true, 0, 0, 71, true, true, true, true, 5, 6, 22
